AGYSUBT,OCCT,count
"DJ01-OFFICES, BOARDS AND DIVISIONS",0905-GENERAL ATTORNEY,2958
DJ02-FEDERAL BUREAU OF INVESTIGATION,1811-CRIMINAL INVESTIGATION,627
DJ11-U.S. TRUSTEE PROGRAM,0905-GENERAL ATTORNEY,243
DJ06-DRUG ENFORCEMENT ADMINISTRATION,1811-CRIMINAL INVESTIGATION,237
DJ03-BUREAU OF PRISONS/FEDERAL PRISON SYSTEM,0602-MEDICAL OFFICER,210
DJ02-FEDERAL BUREAU OF INVESTIGATION,0905-GENERAL ATTORNEY,184
DJ02-FEDERAL BUREAU OF INVESTIGATION,0343-MANAGEMENT AND PROGRAM ANALYSIS,167
DJ12-EXECUTIVE OFFICE FOR IMMIGRATION REVIEW,0905-GENERAL ATTORNEY,151
DJ02-FEDERAL BUREAU OF INVESTIGATION,2210-INFORMATION TECHNOLOGY MANAGEMENT,114
DJ02-FEDERAL BUREAU OF INVESTIGATION,0132-INTELLIGENCE,111
DJ03-BUREAU OF PRISONS/FEDERAL PRISON SYSTEM,0905-GENERAL ATTORNEY,104
DJ03-BUREAU OF PRISONS/FEDERAL PRISON SYSTEM,0006-CORRECTIONAL INSTITUTION ADMINISTRATION,95
DJ08-U.S. MARSHALS SERVICE,1811-CRIMINAL INVESTIGATION,94
"DJ15-BUREAU OF ALCOHOL, TOBACCO, FIREARMS, AND EXPLOSIVES",1811-CRIMINAL INVESTIGATION,89
DJ06-DRUG ENFORCEMENT ADMINISTRATION,0905-GENERAL ATTORNEY,87
"DJ01-OFFICES, BOARDS AND DIVISIONS",2210-INFORMATION TECHNOLOGY MANAGEMENT,84
"DJ01-OFFICES, BOARDS AND DIVISIONS",0301-MISCELLANEOUS ADMINISTRATION AND PROGRAM,66
"DJ15-BUREAU OF ALCOHOL, TOBACCO, FIREARMS, AND EXPLOSIVES",0905-GENERAL ATTORNEY,66
DJ02-FEDERAL BUREAU OF INVESTIGATION,0340-PROGRAM MANAGEMENT,58
DJ02-FEDERAL BUREAU OF INVESTIGATION,0301-MISCELLANEOUS ADMINISTRATION AND PROGRAM,54
DJ09-EXECUTIVE OFFICE FOR U.S. ATTORNEYS AND THE OFFICES OF THE U.S. ATTORNEYS,0905-GENERAL ATTORNEY,45
DJ08-U.S. MARSHALS SERVICE,0082-UNITED STATES MARSHAL,43
"DJ01-OFFICES, BOARDS AND DIVISIONS",0110-ECONOMIST,40
DJ07-OFFICE OF JUSTICE PROGRAMS,0905-GENERAL ATTORNEY,34
"DJ15-BUREAU OF ALCOHOL, TOBACCO, FIREARMS, AND EXPLOSIVES","1801-GENERAL INSPECTION, INVESTIGATION, ENFORCEMENT, AND COMPLIANCE SERIES",33
DJ06-DRUG ENFORCEMENT ADMINISTRATION,0132-INTELLIGENCE,31
"DJ01-OFFICES, BOARDS AND DIVISIONS",0340-PROGRAM MANAGEMENT,30
DJ09-EXECUTIVE OFFICE FOR U.S. ATTORNEYS AND THE OFFICES OF THE U.S. ATTORNEYS,0341-ADMINISTRATIVE OFFICER,29
DJ06-DRUG ENFORCEMENT ADMINISTRATION,"1801-GENERAL INSPECTION, INVESTIGATION, ENFORCEMENT, AND COMPLIANCE SERIES",26
