AGYSUBT,count
"DJ01-OFFICES, BOARDS AND DIVISIONS",3302
DJ02-FEDERAL BUREAU OF INVESTIGATION,1493
DJ06-DRUG ENFORCEMENT ADMINISTRATION,456
DJ03-BUREAU OF PRISONS/FEDERAL PRISON SYSTEM,441
DJ11-U.S. TRUSTEE PROGRAM,275
"DJ15-BUREAU OF ALCOHOL, TOBACCO, FIREARMS, AND EXPLOSIVES",247
DJ08-U.S. MARSHALS SERVICE,216
DJ12-EXECUTIVE OFFICE FOR IMMIGRATION REVIEW,183
DJ07-OFFICE OF JUSTICE PROGRAMS,119
DJ09-EXECUTIVE OFFICE FOR U.S. ATTORNEYS AND THE OFFICES OF THE U.S. ATTORNEYS,93
DJ10-OFFICE OF THE INSPECTOR GENERAL,59
DJ14-COMMUNITY RELATIONS SERVICE,10
